Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
71,3,0,0,0.2,0.8,3,0,0.040290617711213,-0.196421841216113,-0.778289984138337,0,0,0,0,0.040290617711213,0.003578158783887,0.021710015861664,0,0,0,0
72,3,0,0,0.2,0.8,3,0,0.022061507038168,-0.223751257108378,-0.79694870549016,0,0,0,0,0.022061507038168,-0.023751257108378,0.00305129450984,0,0,0,0
73,3,0,0,0.2,0.8,3,0,0.001411426594712,-0.207733025403566,-0.781755002310714,0,0,0,0,0.001411426594712,-0.007733025403566,0.018244997689286,0,0,0,0
74,3,0,0,0.2,0.8,3,0,-0.035607022049367,-0.202185392833339,-0.778254269938297,0,0,0,0,-0.035607022049367,-0.002185392833339,0.021745730061703,0,0,0,0
75,3,0,0,0.2,0.8,3,0,-0.003129100769272,-0.204637183100839,-0.796487076380391,0,0,0,0,-0.003129100769272,-0.004637183100839,0.003512923619609,0,0,0,0
76,3,0,0,0.2,0.8,3,0,0.004625706589992,-0.206893433550872,-0.807189087950461,0,0,0,0,0.004625706589992,-0.006893433550872,-0.007189087950461,0,0,0,0
77,3,0,0,0.2,0.8,3,0,0.034720199345686,-0.186183704401502,-0.7823308900199,0,0,0,0,0.034720199345686,0.013816295598498,0.0176691099801,0,0,0,0
78,3,0,0,0.2,0.8,3,0,0.008264993311948,-0.183860943845077,-0.790961827186975,0,0,0,0,0.008264993311948,0.016139056154923,0.009038172813025,0,0,0,0
79,3,0,0,0.2,0.8,3,0,-0.000194741751637,-0.207052097614826,-0.788369492436364,0,0,0,0,-0.000194741751637,-0.007052097614826,0.011630507563636,0,0,0,0
80,3,0,0,0.2,0.8,3,0,0.029349932664675,-0.215270357896645,-0.791521588733203,0,0,0,0,0.029349932664675,-0.015270357896645,0.008478411266798,0,0,0,0
81,3,0,0,0.2,0.8,3,0,0.005250222410781,-0.203131655302342,-0.819588968223867,0,0,0,0,0.005250222410781,-0.003131655302342,-0.019588968223867,0,0,0,0
82,3,0,0,0.2,0.8,3,0,-0.004344658284592,-0.171847061672231,-0.799410105675441,0,0,0,0,-0.004344658284592,0.028152938327769,0.000589894324559,0,0,0,0
83,3,0,0,0.2,0.8,3,0,-0.019376447014351,-0.199400076476784,-0.80481709199313,0,0,0,0,-0.019376447014351,0.000599923523216,-0.00481709199313,0,0,0,0
84,3,0,0,0.2,0.8,3,0,-0.008065414634099,-0.185025098903451,-0.805966539933559,0,0,0,0,-0.008065414634099,0.014974901096549,-0.005966539933559,0,0,0,0
85,3,0,0,0.2,0.8,3,0,-0.003544278779635,-0.210936958402002,-0.81455331968438,0,0,0,0,-0.003544278779635,-0.010936958402002,-0.01455331968438,0,0,0,0
86,3,0,0,0.2,0.8,3,0,-0.008659773389665,-0.183177956037199,-0.801307033082479,0,0,0,0,-0.008659773389665,0.016822043962801,-0.001307033082479,0,0,0,0
87,3,0,0,0.2,0.8,3,0,-0.009396215471918,-0.2102001874756,-0.801297316038152,0,0,0,0,-0.009396215471918,-0.0102001874756,-0.001297316038152,0,0,0,0
88,3,0,0,0.2,0.8,3,0,0.010778339225687,-0.199562358697133,-0.790066919662779,0,0,0,0,0.010778339225687,0.000437641302867,0.009933080337221,0,0,0,0
89,3,0,0,0.2,0.8,3,0,0.009217909846998,-0.223945427763275,-0.7820395031599,0,0,0,0,0.009217909846998,-0.023945427763275,0.0179604968401,0,0,0,0
90,3,0,0,0.2,0.8,3,0,0.001208060245746,-0.162150358464589,-0.81202701810528,0,0,0,0,0.001208060245746,0.037849641535411,-0.01202701810528,0,0,0,0
91,3,0,0,0.2,0.8,3,0,0.004380983762127,-0.213375394290506,-0.797188806981591,0,0,0,0,0.004380983762127,-0.013375394290506,0.002811193018409,0,0,0,0
92,3,0,0,0.2,0.8,3,0,-0.027079654090725,-0.198375345050974,-0.820647497502124,0,0,0,0,-0.027079654090725,0.001624654949026,-0.020647497502124,0,0,0,0
93,3,0,0,0.2,0.8,3,0,-0.013043074856445,-0.180763644939596,-0.811398366555815,0,0,0,0,-0.013043074856445,0.019236355060404,-0.011398366555815,0,0,0,0
94,3,0,0,0.2,0.8,3,0,-0.000421633316905,-0.198739544383106,-0.771457106211065,0,0,0,0,-0.000421633316905,0.001260455616894,0.028542893788935,0,0,0,0
95,3,0,0,0.2,0.8,3,0,0.01335697996318,-0.219038449633256,-0.772651856635753,0,0,0,0,0.01335697996318,-0.019038449633256,0.027348143364247,0,0,0,0
96,3,0,0,0.2,0.8,3,0,-0.023600451341214,-0.177965449041271,-0.828974108259942,0,0,0,0,-0.023600451341214,0.022034550958729,-0.028974108259942,0,0,0,0
97,3,0,0,0.2,0.8,3,0,0.020536618081582,-0.199351348564758,-0.79300049539741,0,0,0,0,0.020536618081582,0.000648651435242,0.00699950460259,0,0,0,0
98,3,0,0,0.2,0.8,3,0,-0.011616051269,-0.187512352865905,-0.803804908775778,0,0,0,0,-0.011616051269,0.012487647134095,-0.003804908775778,0,0,0,0
99,3,0,0,0.2,0.8,3,0,-0.006057194209897,-0.205715960567578,-0.792130751870568,0,0,0,0,-0.006057194209897,-0.005715960567578,0.007869248129432,0,0,0,0
100,3,0,0,0.2,0.8,3,0,0.022094830920842,-0.200216413672932,-0.784784152888386,0,0,0,0,0.022094830920842,-0.000216413672932,0.015215847111614,0,0,0,0
101,3,0,0,0.2,0.8,3,0,0.006541291230014,-0.178251329640246,-0.779488695722047,0,0,0,0,0.006541291230014,0.021748670359754,0.020511304277953,0,0,0,0
102,3,0,0,0.2,0.8,3,0,0.018111322187645,-0.225628773796418,-0.771087998994851,0,0,0,0,0.018111322187645,-0.025628773796419,0.028912001005149,0,0,0,0
103,3,0,0,0.2,0.8,3,0,0.013087845732158,-0.217570401927342,-0.776535070757977,0,0,0,0,0.013087845732158,-0.017570401927342,0.023464929242024,0,0,0,0
104,3,0,0,0.2,0.8,3,0,0.002570989009789,-0.204789697450443,-0.785787299230507,0,0,0,0,0.002570989009789,-0.004789697450443,0.014212700769494,0,0,0,0
105,3,0,0,0.2,0.8,3,0,0.004951674830741,-0.243535788634297,-0.76408190796751,0,0,0,0,0.004951674830741,-0.043535788634297,0.03591809203249,0,0,0,0
106,3,0,0,0.2,0.8,3,0,-0.028495025124036,-0.177148980194893,-0.787843467326879,0,0,0,0,-0.028495025124036,0.022851019805107,0.012156532673121,0,0,0,0
107,3,0,0,0.2,0.8,3,0,0.029460389142905,-0.222028137003576,-0.749223818632448,0,0,0,0,0.029460389142905,-0.022028137003576,0.050776181367552,0,0,0,0
108,3,0,0,0.2,0.8,3,0,-0.000133123546274,-0.203950834363417,-0.779842382186249,0,0,0,0,-0.000133123546274,-0.003950834363417,0.020157617813751,0,0,0,0
109,3,0,0,0.2,0.8,3,0,0.009734674602449,-0.224360138106684,-0.76872584705186,0,0,0,0,0.009734674602449,-0.024360138106684,0.03127415294814,0,0,0,0
110,3,0,0,0.2,0.8,3,0,0.033162135609589,-0.211800950133332,-0.76285983995456,0,0,0,0,0.033162135609589,-0.011800950133333,0.03714016004544,0,0,0,0
111,3,0,0,0.2,0.8,3,0,-0.047922752771672,-0.179659010599397,-0.810197129686355,0,0,0,0,-0.047922752771672,0.020340989400603,-0.010197129686355,0,0,0,0
112,3,0,0,0.2,0.8,3,0,-0.022947008540772,-0.179801875890313,-0.794046575824762,0,0,0,0,-0.022947008540772,0.020198124109687,0.005953424175238,0,0,0,0
113,3,0,0,0.2,0.8,3,0,-0.01134923021827,-0.19162358379842,-0.809796884062274,0,0,0,0,-0.01134923021827,0.00837641620158,-0.009796884062274,0,0,0,0
114,3,0,0,0.2,0.8,3,0,0.002844647618993,-0.203928817301984,-0.78801463082892,0,0,0,0,0.002844647618993,-0.003928817301984,0.01198536917108,0,0,0,0
