Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
51,4,0,0,0,0,0.8,4,0,0.021432724287271,-0.017086748917498,-0.011876314434624,-0.768863492940597,0,0,0,0,0.021432724287271,-0.017086748917498,-0.011876314434624,0.031136507059403,0,0,0,0
52,4,0,0,0,0,0.8,4,0,0.010871115649095,0.006033536138889,0.000177019228599,-0.761934010454697,0,0,0,0,0.010871115649095,0.006033536138889,0.000177019228599,0.038065989545303,0,0,0,0
53,4,0,0,0,0,0.8,4,0,-0.040852598452068,-0.007947537889096,-0.008422711699072,-0.787620216992269,0,0,0,0,-0.040852598452068,-0.007947537889096,-0.008422711699072,0.012379783007731,0,0,0,0
54,4,0,0,0,0,0.8,4,0,0.010239326507514,0.012971600886788,0.00785250903449,-0.796918630802488,0,0,0,0,0.010239326507514,0.012971600886788,0.00785250903449,0.003081369197512,0,0,0,0
55,4,0,0,0,0,0.8,4,0,0.022086425847195,-0.015338199320462,-0.02785274690181,-0.802909025633896,0,0,0,0,0.022086425847195,-0.015338199320462,-0.02785274690181,-0.002909025633896,0,0,0,0
56,4,0,0,0,0,0.8,4,0,0.011509935347362,0.007652163823968,-0.008561274561705,-0.814810346161809,0,0,0,0,0.011509935347362,0.007652163823968,-0.008561274561705,-0.014810346161809,0,0,0,0
57,4,0,0,0,0,0.8,4,0,0.013057092739309,0.01307347741966,0.003393616043926,-0.79820270563388,0,0,0,0,0.013057092739309,0.01307347741966,0.003393616043926,0.00179729436612,0,0,0,0
58,4,0,0,0,0,0.8,4,0,0.012204685358418,-0.029413064109954,-0.00651211348679,-0.812636706849641,0,0,0,0,0.012204685358418,-0.029413064109954,-0.00651211348679,-0.012636706849641,0,0,0,0
59,4,0,0,0,0,0.8,4,0,0.026429458539937,-0.024656511961595,0.005165510339873,-0.79040928865624,0,0,0,0,0.026429458539937,-0.024656511961595,0.005165510339873,0.00959071134376,0,0,0,0
60,4,0,0,0,0,0.8,4,0,0.004717507539685,-0.005352777410683,0.028227087403427,-0.781884182904064,0,0,0,0,0.004717507539685,-0.005352777410683,0.028227087403427,0.018115817095937,0,0,0,0
61,4,0,0,0,0,0.8,4,0,-0.010395847025012,0.003700438544492,-0.013935399492285,-0.784388324792236,0,0,0,0,-0.010395847025012,0.003700438544492,-0.013935399492285,0.015611675207764,0,0,0,0
62,4,0,0,0,0,0.8,4,0,-0.011805120015153,0.013810817368734,-0.019297182587941,-0.819347932065673,0,0,0,0,-0.011805120015153,0.013810817368734,-0.019297182587941,-0.019347932065673,0,0,0,0
63,4,0,0,0,0,0.8,4,0,-0.024189689144576,-0.00875497414358,-4.12727540655966E-05,-0.769317169656074,0,0,0,0,-0.024189689144576,-0.00875497414358,-4.12727540655966E-05,0.030682830343926,0,0,0,0
64,4,0,0,0,0,0.8,4,0,0.023905405370423,0.017048744003933,0.018415095742563,-0.814054260114042,0,0,0,0,0.023905405370423,0.017048744003933,0.018415095742563,-0.014054260114042,0,0,0,0
65,4,0,0,0,0,0.8,4,0,0.01630033582746,0.005990846667533,0.00412055418685,-0.787806469602035,0,0,0,0,0.01630033582746,0.005990846667533,0.00412055418685,0.012193530397965,0,0,0,0
