Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff
45,0,4,0,0,0,0.8,0,4,0,0,0.000448243014216,0.031801310164186,-0.00825761832816,0.790492325736346,0,0,0,0,-0.000448243014216,-0.031801310164186,0.00825761832816,0.009507674263654,0,0
46,0,4,0,0,0,0.8,0,4,0,0,0.000655293318096,-0.015052525724995,0.040437289539032,0.811546266288144,0,0,0,0,-0.000655293318096,0.015052525724995,-0.040437289539032,-0.011546266288144,0,0
47,0,4,0,0,0,0.8,0,4,0,0,-0.028824842619368,-0.006569341739793,0.032595064577043,0.846949660595924,0,0,0,0,0.028824842619368,0.006569341739793,-0.032595064577043,-0.046949660595924,0,0
48,0,4,0,0,0,0.8,0,4,0,0,0.005390980807184,0.019608828922867,0.004374444620269,0.809859064024335,0,0,0,0,-0.005390980807184,-0.019608828922867,-0.004374444620269,-0.009859064024335,0,0
49,0,4,0,0,0,0.8,0,4,0,0,-0.014252837519112,-0.008180101068283,-0.001931755264439,0.781168401026536,0,0,0,0,0.014252837519112,0.008180101068283,0.001931755264439,0.018831598973465,0,0
50,0,4,0,0,0,0.8,0,4,0,0,0.038334517808212,0.002453587150836,0.016884817054617,0.833067100563317,0,0,0,0,-0.038334517808212,-0.002453587150836,-0.016884817054617,-0.033067100563317,0,0
51,0,4,0,0,0,0.8,0,4,0,0,-0.035737189053527,-0.002242759969218,-0.023814107003214,0.801660029652664,0,0,0,0,0.035737189053527,0.002242759969218,0.023814107003214,-0.001660029652663,0,0
52,0,4,0,0,0,0.8,0,4,0,0,-0.007530403404455,-0.008775047445145,-0.010735085388343,0.828308722377109,0,0,0,0,0.007530403404455,0.008775047445145,0.010735085388343,-0.028308722377109,0,0
53,0,4,0,0,0,0.8,0,4,0,0,0.01558602026807,-0.006092008729815,0.041889400514479,0.827375529251566,0,0,0,0,-0.01558602026807,0.006092008729815,-0.041889400514479,-0.027375529251566,0,0
54,0,4,0,0,0,0.8,0,4,0,0,-0.02220257852746,-0.011977990840995,0.027290704065123,0.800194646794635,0,0,0,0,0.02220257852746,0.011977990840995,-0.027290704065123,-0.000194646794635,0,0
55,0,4,0,0,0,0.8,0,4,0,0,-0.040311691771313,0.00647239421973,0.011259585122195,0.826637786843169,0,0,0,0,0.040311691771313,-0.00647239421973,-0.011259585122195,-0.026637786843169,0,0
56,0,4,0,0,0,0.8,0,4,0,0,-0.004338256325569,-0.013095628939226,0.031722434601558,0.823119951688417,0,0,0,0,0.004338256325569,0.013095628939226,-0.031722434601558,-0.023119951688417,0,0
57,0,4,0,0,0,0.8,0,4,0,0,-0.002863809124776,-0.00683281668493,0.002770163435428,0.804433687946774,0,0,0,0,0.002863809124776,0.00683281668493,-0.002770163435428,-0.004433687946774,0,0
58,0,4,0,0,0,0.8,0,4,0,0,0.033754947164787,0.004558888575726,-0.032718197460109,0.772665558661982,0,0,0,0,-0.033754947164787,-0.004558888575726,0.032718197460109,0.027334441338019,0,0
59,0,4,0,0,0,0.8,0,4,0,0,-0.005994938313075,-0.00155121923037,0.008932779588876,0.787903442146601,0,0,0,0,0.005994938313075,0.00155121923037,-0.008932779588876,0.012096557853399,0,0
60,0,4,0,0,0,0.8,0,4,0,0,-0.02561783499358,0.041739725185519,0.020722531570621,0.803276048997198,0,0,0,0,0.02561783499358,-0.041739725185519,-0.020722531570621,-0.003276048997198,0,0
61,0,4,0,0,0,0.8,0,4,0,0,0.009447620332865,0.008920659214112,0.006322434209133,0.803333596325751,0,0,0,0,-0.009447620332865,-0.008920659214112,-0.006322434209133,-0.003333596325751,0,0
62,0,4,0,0,0,0.8,0,4,0,0,0.001939603630049,0.008332514525019,-0.0082168700379,0.807035193628988,0,0,0,0,-0.001939603630049,-0.008332514525019,0.0082168700379,-0.007035193628988,0,0
63,0,4,0,0,0,0.8,0,4,0,0,0.002762898672621,0.012238649705076,-0.007367571030049,0.816691131719204,0,0,0,0,-0.002762898672621,-0.012238649705076,0.007367571030049,-0.016691131719204,0,0
64,0,4,0,0,0,0.8,0,4,0,0,-0.008841540329057,0.021448567362513,0.033701354549147,0.812720440712431,0,0,0,0,0.008841540329057,-0.021448567362513,-0.033701354549147,-0.012720440712432,0,0
65,0,4,0,0,0,0.8,0,4,0,0,0.073426677938749,-0.029999500980946,-0.011041220014761,0.828149380918227,0,0,0,0,-0.073426677938749,0.029999500980946,0.011041220014761,-0.028149380918227,0,0
66,0,4,0,0,0,0.8,0,4,0,0,-0.046890242708694,0.033526468230571,-0.021340880064841,0.798099255003434,0,0,0,0,0.046890242708694,-0.033526468230571,0.021340880064841,0.001900744996566,0,0
67,0,4,0,0,0,0.8,0,4,0,0,0.028496165881068,-0.004908848231823,-0.05696859948436,0.791650192833161,0,0,0,0,-0.028496165881068,0.004908848231823,0.05696859948436,0.008349807166839,0,0
68,0,4,0,0,0,0.8,0,4,0,0,0.001718710112617,-0.012125972391881,-0.0156950847169,0.809762900166556,0,0,0,0,-0.001718710112617,0.012125972391881,0.0156950847169,-0.009762900166556,0,0
69,0,4,0,0,0,0.8,0,4,0,0,0.000568066675301,-0.0047472079972,0.035606683069032,0.805638275066699,0,0,0,0,-0.000568066675301,0.0047472079972,-0.035606683069032,-0.005638275066699,0,0
70,0,4,0,0,0,0.8,0,4,0,0,0.005599508708524,-0.028056759464724,-0.029481083713016,0.798229172756597,0,0,0,0,-0.005599508708524,0.028056759464724,0.029481083713016,0.001770827243403,0,0
71,0,4,0,0,0,0.8,0,4,0,0,0.030908324766555,0.030793712132815,-0.006023163597872,0.803731229181711,0,0,0,0,-0.030908324766555,-0.030793712132815,0.006023163597872,-0.003731229181711,0,0
72,0,4,0,0,0,0.8,0,4,0,0,0.027775710336074,0.002891396599515,-0.011966880734212,0.768804461582784,0,0,0,0,-0.027775710336074,-0.002891396599515,0.011966880734212,0.031195538417216,0,0
73,0,4,0,0,0,0.8,0,4,0,0,0.015316692062143,-0.003173074941467,0.013375472536414,0.800207163850423,0,0,0,0,-0.015316692062143,0.003173074941467,-0.013375472536414,-0.000207163850423,0,0
74,0,4,0,0,0,0.8,0,4,0,0,0.015766592837562,0.019206415547697,-0.006633759230995,0.805302005317272,0,0,0,0,-0.015766592837562,-0.019206415547697,0.006633759230995,-0.005302005317272,0,0
75,0,4,0,0,0,0.8,0,4,0,0,0.019582537195453,-0.006936592715663,0.01961159499504,0.808825846984166,0,0,0,0,-0.019582537195453,0.006936592715663,-0.01961159499504,-0.008825846984166,0,0
76,0,4,0,0,0,0.8,0,4,0,0,-0.034375096422084,-0.036362779145429,0.007732378006778,0.83055266045093,0,0,0,0,0.034375096422084,0.036362779145429,-0.007732378006778,-0.03055266045093,0,0
77,0,4,0,0,0,0.8,0,4,0,0,-0.01463418319287,0.01943038365695,-0.018103482078722,0.815335808305484,0,0,0,0,0.01463418319287,-0.01943038365695,0.018103482078722,-0.015335808305484,0,0
78,0,4,0,0,0,0.8,0,4,0,0,-0.037102541201453,-0.006127352682321,0.020071307361423,0.799658130578991,0,0,0,0,0.037102541201453,0.006127352682321,-0.020071307361423,0.000341869421009,0,0
79,0,4,0,0,0,0.8,0,4,0,0,0.017559339055226,0.011067977091668,0.030673404076382,0.81621652954811,0,0,0,0,-0.017559339055226,-0.011067977091668,-0.030673404076382,-0.01621652954811,0,0
80,0,4,0,0,0,0.8,0,4,0,0,-0.033927838571315,-0.009866589772131,0.0137560883879,0.832840955420166,0,0,0,0,0.033927838571315,0.009866589772131,-0.0137560883879,-0.032840955420166,0,0
81,0,4,0,0,0,0.8,0,4,0,0,0.02758069981659,-0.008946821177013,-0.021107370666242,0.804276679353805,0,0,0,0,-0.02758069981659,0.008946821177013,0.021107370666242,-0.004276679353805,0,0
82,0,4,0,0,0,0.8,0,4,0,0,0.010671816182603,0.010498889016752,0.042354770605035,0.819781124100335,0,0,0,0,-0.010671816182603,-0.010498889016752,-0.042354770605035,-0.019781124100335,0,0
83,0,4,0,0,0,0.8,0,4,0,0,-0.018291042644453,0.042951496807329,0.004318313018732,0.792808719167413,0,0,0,0,0.018291042644453,-0.042951496807329,-0.004318313018732,0.007191280832587,0,0
84,0,4,0,0,0,0.8,0,4,0,0,0.043210120326656,0.006983853872262,-0.002948727286417,0.818522199879724,0,0,0,0,-0.043210120326656,-0.006983853872262,0.002948727286417,-0.018522199879724,0,0
85,0,4,0,0,0,0.8,0,4,0,0,0.002941763933195,-0.003369751759919,-0.027276148639156,0.784443089417179,0,0,0,0,-0.002941763933195,0.003369751759919,0.027276148639156,0.015556910582821,0,0
86,0,4,0,0,0,0.8,0,4,0,0,-0.003917443055883,0.002986959915653,-0.007312063225719,0.805822658397277,0,0,0,0,0.003917443055883,-0.002986959915653,0.007312063225719,-0.005822658397277,0,0
87,0,4,0,0,0,0.8,0,4,0,0,0.004033344908617,0.020731403886793,0.013502065183313,0.81949802119042,0,0,0,0,-0.004033344908617,-0.020731403886793,-0.013502065183313,-0.01949802119042,0,0
88,0,4,0,0,0,0.8,0,4,0,0,-0.011149045046034,0.002319279701053,0.023328184583313,0.809744653440471,0,0,0,0,0.011149045046034,-0.002319279701053,-0.023328184583313,-0.009744653440471,0,0
89,0,4,0,0,0,0.8,0,4,0,0,0.033727698096393,0.007355816793913,0.004132438966559,0.812571624126255,0,0,0,0,-0.033727698096393,-0.007355816793913,-0.004132438966559,-0.012571624126255,0,0
90,0,4,0,0,0,0.8,0,4,0,0,-0.018304067681058,-0.022295369199082,0.001711384793466,0.785846868295542,0,0,0,0,0.018304067681058,0.022295369199082,-0.001711384793466,0.014153131704458,0,0
91,0,4,0,0,0,0.8,0,4,0,0,0.011401337721067,0.016162814900829,0.026637492614515,0.788920764190433,0,0,0,0,-0.011401337721067,-0.016162814900829,-0.026637492614515,0.011079235809567,0,0
92,0,4,0,0,0,0.8,0,4,0,0,-0.006364964816752,0.021476141737796,-0.003958033797193,0.783759411863269,0,0,0,0,0.006364964816752,-0.021476141737796,0.003958033797193,0.016240588136731,0,0
93,0,4,0,0,0,0.8,0,4,0,0,0.034204275299639,0.010101302837776,-0.003607025025346,0.80514322986694,0,0,0,0,-0.034204275299639,-0.010101302837776,0.003607025025346,-0.00514322986694,0,0
94,0,4,0,0,0,0.8,0,4,0,0,-0.001944330392094,0.020660281760503,-0.001770848064056,0.808013187181838,0,0,0,0,0.001944330392094,-0.020660281760503,0.001770848064056,-0.008013187181838,0,0
95,0,4,0,0,0,0.8,0,4,0,0,-0.013341072790464,0.001024512558053,-0.00589816170048,0.790412289123877,0,0,0,0,0.013341072790464,-0.001024512558053,0.00589816170048,0.009587710876123,0,0
96,0,4,0,0,0,0.8,0,4,0,0,-0.005620461800424,0.013135960799718,0.003436326993329,0.794728432349355,0,0,0,0,0.005620461800424,-0.013135960799718,-0.003436326993329,0.005271567650645,0,0
97,0,4,0,0,0,0.8,0,4,0,0,0.006070938415154,0.017073880932364,0.006995003024559,0.800562218874158,0,0,0,0,-0.006070938415154,-0.017073880932364,-0.006995003024559,-0.000562218874158,0,0
98,0,4,0,0,0,0.8,0,4,0,0,0.016067569815645,0.036664925822721,-0.017745124349221,0.819828376309947,0,0,0,0,-0.016067569815645,-0.036664925822721,0.017745124349221,-0.019828376309947,0,0
99,0,4,0,0,0,0.8,0,4,0,0,-0.008630741749578,-0.012828504626044,0.002571268242471,0.780908112251661,0,0,0,0,0.008630741749578,0.012828504626044,-0.002571268242471,0.019091887748339,0,0
100,0,4,0,0,0,0.8,0,4,0,0,0.00258380507855,0.011163051613919,5.21421641518976E-05,0.803538612284855,0,0,0,0,-0.00258380507855,-0.011163051613919,-5.21421641518976E-05,-0.003538612284855,0,0
101,0,4,0,0,0,0.8,0,4,0,0,0.00400499182824,0.001809604160654,0.041229433887617,0.790359760923651,0,0,0,0,-0.00400499182824,-0.001809604160654,-0.041229433887617,0.009640239076349,0,0
102,0,4,0,0,0,0.8,0,4,0,0,0.013513177643745,-0.001393901075897,0.004985747452679,0.81615973043504,0,0,0,0,-0.013513177643745,0.001393901075897,-0.004985747452679,-0.01615973043504,0,0
103,0,4,0,0,0,0.8,0,4,0,0,-0.008095676869411,-0.039025279587868,0.007608417582264,0.77370456718291,0,0,0,0,0.008095676869411,0.039025279587868,-0.007608417582264,0.02629543281709,0,0
104,0,4,0,0,0,0.8,0,4,0,0,-0.012533969767969,-0.027945513149923,0.00600058459944,0.817146669551993,0,0,0,0,0.012533969767969,0.027945513149923,-0.00600058459944,-0.017146669551993,0,0
105,0,4,0,0,0,0.8,0,4,0,0,0.020359288039762,0.021143476970037,-0.034158304472755,0.819460766286425,0,0,0,0,-0.020359288039762,-0.021143476970037,0.034158304472755,-0.019460766286425,0,0
106,0,4,0,0,0,0.8,0,4,0,0,0.048005865694357,-0.014418789033739,0.009676346798511,0.802733378514488,0,0,0,0,-0.048005865694357,0.014418789033739,-0.009676346798511,-0.002733378514488,0,0
107,0,4,0,0,0,0.8,0,4,0,0,-0.010490437555013,-0.008018036671276,-0.011286505584395,0.811544853723854,0,0,0,0,0.010490437555013,0.008018036671276,0.011286505584395,-0.011544853723855,0,0
108,0,4,0,0,0,0.8,0,4,0,0,-0.014667758157512,-0.013654614338993,-0.019009984059379,0.802983889752765,0,0,0,0,0.014667758157512,0.013654614338993,0.019009984059379,-0.002983889752765,0,0
109,0,4,0,0,0,0.8,0,4,0,0,0.001579228722059,0.016068245372239,0.031347268201887,0.817732547206229,0,0,0,0,-0.001579228722059,-0.016068245372239,-0.031347268201887,-0.017732547206229,0,0
110,0,4,0,0,0,0.8,0,4,0,0,0.032875914766174,-0.004722397276629,0.00332613190888,0.824996214264204,0,0,0,0,-0.032875914766174,0.004722397276629,-0.00332613190888,-0.024996214264204,0,0
111,0,4,0,0,0,0.8,0,4,0,0,-0.007121292365877,-0.006711361872717,0.014493362523574,0.837789711653434,0,0,0,0,0.007121292365877,0.006711361872717,-0.014493362523574,-0.037789711653434,0,0
112,0,4,0,0,0,0.8,0,4,0,0,0.001614825903424,-0.032588374594969,-0.005608019171882,0.830862523733212,0,0,0,0,-0.001614825903424,0.032588374594969,0.005608019171882,-0.030862523733212,0,0
113,0,4,0,0,0,0.8,0,4,0,0,0.021875397078801,0.032459359468813,-0.002613531775753,0.819231678565874,0,0,0,0,-0.021875397078801,-0.032459359468813,0.002613531775753,-0.019231678565874,0,0
114,0,4,0,0,0,0.8,0,4,0,0,-0.001861032336388,-0.010199995234637,0.014965876023423,0.799818144856273,0,0,0,0,0.001861032336388,0.010199995234637,-0.014965876023423,0.000181855143727,0,0
115,0,4,0,0,0,0.8,0,4,0,0,0.005677123748883,0.009165033452269,-0.010468147300847,0.81495583059047,0,0,0,0,-0.005677123748883,-0.009165033452269,0.010468147300847,-0.01495583059047,0,0
116,0,4,0,0,0,0.8,0,4,0,0,-0.011529861192509,-0.027196049055338,-0.011422401086406,0.815057418442582,0,0,0,0,0.011529861192509,0.027196049055338,0.011422401086406,-0.015057418442582,0,0
117,0,4,0,0,0,0.8,0,4,0,0,0.004191570509854,-0.011843969211639,0.0290891768292,0.807268539196065,0,0,0,0,-0.004191570509854,0.011843969211639,-0.0290891768292,-0.007268539196065,0,0
118,0,4,0,0,0,0.8,0,4,0,0,0.00144750113022,-0.034914506016716,-0.002897926473005,0.777153782609043,0,0,0,0,-0.00144750113022,0.034914506016716,0.002897926473005,0.022846217390957,0,0
119,0,4,0,0,0,0.8,0,4,0,0,-0.03017422272351,-0.013806150029653,0.005921346661774,0.808718918291568,0,0,0,0,0.03017422272351,0.013806150029653,-0.005921346661774,-0.008718918291568,0,0
120,0,4,0,0,0,0.8,0,4,0,0,-0.027296249257814,-0.007708319792057,0.033398985390681,0.816181464787984,0,0,0,0,0.027296249257814,0.007708319792057,-0.033398985390681,-0.016181464787984,0,0
121,0,4,0,0,0,0.8,0,4,0,0,-0.005206751440242,-0.037851895322103,-0.015268943837086,0.785613605715897,0,0,0,0,0.005206751440242,0.037851895322103,0.015268943837086,0.014386394284103,0,0
